Step,Temperature,Best_Energy
823000,991.803733,379.308624
824000,991.793815,379.308624
825000,991.783897,379.308624
826000,991.773979,379.308624
827000,991.764061,379.308624
828000,991.754144,379.308624
829000,991.744226,379.308624
830000,991.734309,379.308624
831000,991.724391,379.308624
832000,991.714474,379.308624
833000,991.704557,379.308624
834000,991.694640,379.308624
835000,991.684723,379.308624
836000,991.674806,379.308624
837000,991.664889,379.308624
838000,991.654973,379.308624
839000,991.645056,379.308624
840000,991.635140,379.308624
841000,991.625223,379.308624
842000,991.615307,379.308624
843000,991.605391,379.308624
844000,991.595475,379.308624
845000,991.585559,379.308624
846000,991.575643,379.308624
847000,991.565727,379.308624
848000,991.555812,379.308624
849000,991.545896,379.308624
850000,991.535981,379.308624
851000,991.526065,379.308624
852000,991.516150,379.308624
853000,991.506235,379.308624
854000,991.496320,379.308624
855000,991.486405,379.308624
856000,991.476490,379.308624
857000,991.466575,379.308624
858000,991.456661,379.308624
859000,991.446746,379.308624
860000,991.436832,379.308624
861000,991.426917,379.308624
862000,991.417003,379.308624
863000,991.407089,379.308624
864000,991.397175,379.308624
865000,991.387261,379.308624
866000,991.377347,379.308624
867000,991.367433,379.308624
868000,991.357519,379.308624
869000,991.347606,379.308624
870000,991.337692,379.308624
871000,991.327779,379.308624
872000,991.317866,379.308624
873000,991.307953,379.308624
874000,991.298039,379.308624
875000,991.288126,379.308624
876000,991.278214,379.308624
877000,991.268301,379.308624
878000,991.258388,379.308624
879000,991.248476,379.308624
880000,991.238563,379.308624
881000,991.228651,379.308624
882000,991.218738,379.308624
883000,991.208826,379.308624
884000,991.198914,379.308624
885000,991.189002,379.308624
886000,991.179090,379.308624
887000,991.169178,379.308624
888000,991.159267,379.308624
889000,991.149355,379.308624
890000,991.139444,379.308624
891000,991.129532,379.308624
892000,991.119621,379.308624
893000,991.109710,379.308624
894000,991.099799,379.308624
895000,991.089888,379.308624
896000,991.079977,379.308624
897000,991.070066,379.308624
898000,991.060155,379.308624
899000,991.050245,379.308624
900000,991.040334,379.308624
901000,991.030424,379.308624
902000,991.020513,379.308624
903000,991.010603,379.308624
904000,991.000693,379.308624
905000,990.990783,379.308624
906000,990.980873,379.308624
907000,990.970963,379.308624
908000,990.961054,379.308624
909000,990.951144,379.308624
910000,990.941235,379.308624
911000,990.931325,379.308624
912000,990.921416,379.308624
913000,990.911507,379.308624
914000,990.901598,379.308624
915000,990.891689,379.308624
916000,990.881780,379.308624
917000,990.871871,379.308624
918000,990.861962,379.308624
919000,990.852053,379.308624
920000,990.842145,379.308624
921000,990.832237,379.308624
922000,990.822328,379.308624
923000,990.812420,379.308624
